"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
70.5684199622914,-278.565095712934,1.35609355964554,2.78365399468995,"Resting","Resting",3600,1,2197,2197,1,8,9
70.5694727841536,-278.566666830321,0.00189125453518638,-2.63196363364782,"Resting","Resting",3600,1,2198,2198,1,1,9
70.4195948901659,-278.532585096642,0.153704091281879,-2.38477361202669,"Resting","Resting",3600,1,2199,2199,1,1,9
70.4742126971262,-278.548207638252,0.0568081740905119,3.08659202431693,"Resting","Resting",3600,1,2200,2200,1,8,9
70.4645263942734,-278.543344696893,0.0108384805952719,2.95490699371841,"Resting","Resting",3600,1,2201,2201,1,8,9
69.6447030345303,-279.208530175756,1.05573768639322,1.14692023133984,"Exploratory","Exploratory",3600,1,2202,2202,1,6,9
71.3838829981099,-279.417950704344,1.75174310431374,2.34011674986135,"Exploratory","Exploratory",3600,1,2203,2203,1,7,9
70.3797567589851,-280.012722618856,1.16705746833267,-2.48699714239641,"Exploratory","Exploratory",3600,1,2204,2204,1,1,9
68.513579496756,-280.136782014399,1.87029631547605,-0.468378948491806,"Exploratory","Exploratory",3600,1,2205,2205,1,4,9
68.4005585178696,-278.792929399873,1.34859689723698,-1.55327171659597,"Exploratory","Exploratory",3600,1,2206,2206,1,3,9
66.4667703545658,-273.377110454048,5.7507070447462,0.259048289845954,"Transit","Exploratory",3600,1,2207,2207,3,5,9
67.2789055643211,-273.066308895763,0.869575302982083,-1.54824794765583,"Exploratory","Exploratory",3600,1,2208,2208,1,3,9
64.8723698578502,-273.305319556383,2.4183755296499,2.87508390379062,"Exploratory","Exploratory",3600,1,2209,2209,1,8,9
64.8740351981305,-273.305292404716,0.0016655616056659,3.05890250522051,"Resting","Exploratory",3600,1,2210,2210,1,8,9
62.5032725746985,-275.451322116823,3.19780533208412,-2.42221100479945,"Exploratory","Exploratory",3600,1,2211,2211,2,1,9
64.2300879067334,-275.066668138491,1.76913817266967,2.62508353936911,"Exploratory","Exploratory",3600,1,2212,2212,1,8,9
63.714411056834,-275.50121777208,0.674355987275455,-2.66053973187327,"Exploratory","Exploratory",3600,1,2213,2213,1,1,9
60.2162215465241,-283.298884442256,8.54639896969567,0.448862584089314,"Transit","Exploratory",3600,1,2214,2214,4,5,9
61.4690146727654,-284.378547987491,1.6538331197755,1.28119432962928,"Exploratory","Exploratory",3600,1,2215,2215,1,6,9
61.8027432740055,-284.057871132309,0.462826560101167,1.47676412636488,"Exploratory","Exploratory",3600,1,2216,2216,1,6,9
61.7834877281465,-284.071654656794,0.0236804052657795,2.99740164928993,"Resting","Exploratory",3600,1,2217,2217,1,8,9
60.8857088996241,-282.643069126768,1.68726507743751,-1.63099323039756,"Exploratory","Exploratory",3600,1,2218,2218,1,2,9
61.7652499693699,-282.495627859698,0.891813557087413,-1.96577476506083,"Exploratory","Exploratory",3600,1,2219,2219,1,2,9
